,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
0,,1,,,,4,4,,,,,2,2,0,,,,,,,,,4,3,4,1,1,3,0,5,6,6,5.666666666666667,0
1,,1,,,,1,1,,,,,1,2,0,,,,,,,,,5,3,3,1,1,3,0,5,5,6,5.333333333333333,0
2,,0,,,,1,1,,,,,1,2,3,,,,,,,,,4,3,2,2,3,3,0,7,8,10,8.333333333333334,1
3,,0,,,,4,2,,,,,1,3,0,,,,,,,,,3,2,2,1,1,5,0,15,14,15,14.666666666666666,1
4,,0,,,,3,3,,,,,1,2,0,,,,,,,,,4,3,2,1,2,5,0,6,10,10,8.666666666666666,1
5,,0,,,,4,3,,,,,1,2,0,,,,,,,,,5,4,2,1,2,5,0,15,15,15,15.0,1
6,,0,,,,2,2,,,,,1,2,0,,,,,,,,,4,4,4,1,1,3,0,12,12,11,11.666666666666666,1
7,,1,,,,4,4,,,,,2,2,0,,,,,,,,,4,1,4,1,1,1,0,6,5,6,5.666666666666667,0
8,,0,,,,3,2,,,,,1,2,0,,,,,,,,,4,2,2,1,1,1,0,16,18,19,17.666666666666668,1
9,,0,,,,3,4,,,,,1,2,0,,,,,,,,,5,5,1,1,1,5,0,14,15,15,14.666666666666666,1
10,,0,,,,4,4,,,,,1,2,0,,,,,,,,,3,3,3,1,2,2,0,10,8,9,9.0,1
11,,0,,,,2,1,,,,,3,3,0,,,,,,,,,5,2,2,1,1,4,0,10,12,12,11.333333333333334,1
12,,0,,,,4,4,,,,,1,1,0,,,,,,,,,4,3,3,1,3,5,0,14,14,14,14.0,1
13,,0,,,,4,3,,,,,2,2,0,,,,,,,,,5,4,3,1,2,3,0,10,10,11,10.333333333333334,1
14,,0,,,,2,2,,,,,1,3,0,,,,,,,,,4,5,2,1,1,3,0,14,16,16,15.333333333333334,1
15,,0,,,,4,4,,,,,1,1,0,,,,,,,,,4,4,4,1,2,2,0,14,14,14,14.0,1
16,,0,,,,4,4,,,,,1,3,0,,,,,,,,,3,2,3,1,2,2,0,13,14,14,13.666666666666666,1
17,,0,,,,3,3,,,,,3,2,0,,,,,,,,,5,3,2,1,1,4,0,8,10,10,9.333333333333334,1
18,,1,,,,3,2,,,,,1,1,3,,,,,,,,,5,5,5,2,4,5,1,6,5,5,5.333333333333333,0
19,,0,,,,4,3,,,,,1,1,0,,,,,,,,,3,1,3,1,3,5,0,8,10,10,9.333333333333334,1
20,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,4,1,1,1,1,0,13,14,15,14.0,1
21,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,4,2,1,1,5,0,12,15,15,14.0,1
22,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,5,1,1,3,5,0,15,15,16,15.333333333333334,1
23,,0,,,,2,2,,,,,2,2,0,,,,,,,,,5,4,4,2,4,5,0,13,13,12,12.666666666666666,1
24,,0,,,,2,4,,,,,1,3,0,,,,,,,,,4,3,2,1,1,5,0,10,9,8,9.0,1
25,,0,,,,2,2,,,,,1,1,2,,,,,,,,,1,2,2,1,3,5,1,6,9,8,7.666666666666667,0
26,,0,,,,2,2,,,,,1,1,0,,,,,,,,,4,2,2,1,2,5,0,12,12,11,11.666666666666666,1
27,,0,,,,4,2,,,,,1,1,0,,,,,,,,,2,2,4,2,4,1,0,15,16,15,15.333333333333334,1
28,,0,,,,3,4,,,,,1,2,0,,,,,,,,,5,3,3,1,1,5,0,11,11,11,11.0,1
29,,0,,,,4,4,,,,,1,2,0,,,,,,,,,4,4,5,5,5,5,1,10,12,11,11.0,1
30,,0,,,,4,4,,,,,1,2,0,,,,,,,,,5,4,2,3,4,5,0,9,11,12,10.666666666666666,1
31,,0,,,,4,4,,,,,2,2,0,,,,,,,,,4,3,1,1,1,5,0,17,16,17,16.666666666666668,1
32,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,5,2,1,1,5,0,17,16,16,16.333333333333332,1
33,,0,,,,3,3,,,,,1,2,0,,,,,,,,,5,3,2,1,1,2,0,8,10,12,10.0,1
34,,0,,,,3,2,,,,,1,1,0,,,,,,,,,5,4,3,1,1,5,0,12,14,15,13.666666666666666,1
35,,0,,,,2,3,,,,,2,1,0,,,,,,,,,3,5,1,1,1,5,0,8,7,6,7.0,0
36,,0,,,,4,3,,,,,1,3,0,,,,,,,,,5,4,3,1,1,4,0,15,16,18,16.333333333333332,1
37,,0,,,,4,4,,,,,2,3,0,,,,,,,,,2,4,3,1,1,5,0,15,16,15,15.333333333333334,1
38,,0,,,,3,4,,,,,1,3,0,,,,,,,,,4,3,2,1,1,5,0,12,12,11,11.666666666666666,1
39,,0,,,,2,2,,,,,1,1,0,,,,,,,,,4,3,1,1,1,2,0,14,13,13,13.333333333333334,1
40,,0,,,,2,2,,,,,2,2,1,,,,,,,,,3,3,3,1,2,3,2,7,10,11,9.333333333333334,1
41,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,4,3,2,4,5,0,12,12,12,12.0,1
42,,0,,,,4,4,,,,,1,2,0,,,,,,,,,4,3,3,1,1,5,0,19,18,18,18.333333333333332,1
43,,0,,,,2,2,,,,,1,1,0,,,,,,,,,5,4,1,1,1,1,0,8,8,11,9.0,1
44,,0,,,,2,2,,,,,2,2,1,,,,,,,,,4,3,3,2,2,5,1,10,10,9,9.666666666666666,1
45,,0,,,,4,3,,,,,1,2,0,,,,,,,,,5,2,2,1,1,5,0,8,8,6,7.333333333333333,0
46,,0,,,,3,3,,,,,1,2,0,,,,,,,,,2,3,5,1,4,3,1,11,12,11,11.333333333333334,1
47,,0,,,,4,3,,,,,1,4,0,,,,,,,,,4,2,2,1,1,2,0,19,19,20,19.333333333333332,1
48,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,3,3,2,2,5,0,15,15,14,14.666666666666666,1
49,,0,,,,4,4,,,,,1,2,1,,,,,,,,,4,4,4,1,1,3,0,7,7,7,7.0,0
50,,0,,,,2,2,,,,,3,2,0,,,,,,,,,4,3,3,2,3,4,0,12,13,13,12.666666666666666,1
51,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,3,3,1,1,5,0,11,13,13,12.333333333333334,1
52,,0,,,,4,2,,,,,2,1,1,,,,,,,,,5,5,5,3,4,5,0,11,11,10,10.666666666666666,1
53,,0,,,,4,4,,,,,1,1,0,,,,,,,,,3,3,4,2,3,5,0,8,10,11,9.666666666666666,1
54,,0,,,,3,3,,,,,1,1,0,,,,,,,,,5,3,4,4,4,1,0,10,13,13,12.0,1
55,,0,,,,2,1,,,,,1,2,0,,,,,,,,,5,3,4,1,1,2,0,8,9,10,9.0,1
56,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,3,2,1,1,1,0,14,15,15,14.666666666666666,1
57,,0,,,,4,4,,,,,1,2,0,,,,,,,,,3,2,2,1,1,5,0,14,15,15,14.666666666666666,1
58,,0,,,,1,2,,,,,1,2,0,,,,,,,,,4,3,2,1,1,5,0,9,10,9,9.333333333333334,1
59,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,2,3,1,1,5,0,15,16,16,15.666666666666666,1
60,,0,,,,4,4,,,,,1,2,0,,,,,,,,,2,4,4,2,3,4,0,10,11,11,10.666666666666666,1
61,,0,,,,1,1,,,,,4,1,0,,,,,,,,,5,5,5,5,5,5,0,10,8,11,9.666666666666666,1
62,,0,,,,1,2,,,,,1,2,0,,,,,,,,,4,4,3,1,1,1,0,8,10,9,9.0,1
63,,0,,,,4,3,,,,,1,3,0,,,,,,,,,3,4,4,2,4,4,0,10,9,9,9.333333333333334,1
64,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,4,4,2,4,2,0,10,10,10,10.0,1
65,,0,,,,4,3,,,,,3,2,0,,,,,,,,,5,4,3,1,2,1,0,16,15,15,15.333333333333334,1
66,,0,,,,4,4,,,,,1,4,0,,,,,,,,,1,3,3,5,5,3,0,13,13,12,12.666666666666666,1
67,,0,,,,3,1,,,,,1,4,0,,,,,,,,,4,3,3,1,2,5,0,7,7,6,6.666666666666667,0
68,,0,,,,2,2,,,,,2,2,0,,,,,,,,,4,1,3,1,3,4,0,8,9,8,8.333333333333334,1
69,,0,,,,3,1,,,,,2,4,0,,,,,,,,,4,4,2,2,3,3,1,16,16,16,16.0,1
70,,0,,,,3,1,,,,,2,4,0,,,,,,,,,4,3,2,1,1,5,0,13,15,15,14.333333333333334,1
71,,0,,,,4,2,,,,,1,4,0,,,,,,,,,3,3,3,1,1,3,0,10,10,10,10.0,1
72,,0,,,,1,1,,,,,1,2,2,,,,,,,,,3,3,4,2,4,5,0,8,6,5,6.333333333333333,0
73,,0,,,,3,1,,,,,1,1,0,,,,,,,,,5,3,2,2,2,5,0,12,12,14,12.666666666666666,1
74,,0,,,,3,3,,,,,1,2,0,,,,,,,,,4,3,3,2,4,5,2,11,12,11,11.333333333333334,1
75,,0,,,,4,3,,,,,1,2,0,,,,,,,,,4,3,3,2,3,5,0,9,9,10,9.333333333333334,1
76,,0,,,,4,0,,,,,2,4,0,,,,,,,,,3,4,3,1,1,1,0,11,11,10,10.666666666666666,1
77,,0,,,,2,2,,,,,1,4,0,,,,,,,,,5,2,3,1,3,3,0,11,11,11,11.0,1
78,,1,,,,2,1,,,,,2,1,3,,,,,,,,,4,5,1,1,1,3,0,8,8,10,8.666666666666666,1
79,,0,,,,3,4,,,,,1,2,0,,,,,,,,,2,4,3,1,2,3,1,5,5,5,5.0,0
80,,0,,,,2,3,,,,,1,1,0,,,,,,,,,3,2,2,1,3,3,0,10,12,12,11.333333333333334,1
81,,0,,,,2,3,,,,,1,3,0,,,,,,,,,5,3,2,1,2,5,0,11,10,11,10.666666666666666,1
82,,0,,,,3,2,,,,,1,2,0,,,,,,,,,4,4,4,1,1,5,0,7,6,6,6.333333333333333,0
83,,0,,,,2,2,,,,,2,2,0,,,,,,,,,5,3,3,1,3,4,0,15,15,15,15.0,1
84,,0,,,,1,1,,,,,1,2,0,,,,,,,,,4,3,2,2,3,4,0,9,10,10,9.666666666666666,1
85,,0,,,,4,4,,,,,2,2,2,,,,,,,,,4,4,4,2,3,5,0,7,9,8,8.0,1
86,,0,,,,2,2,,,,,1,2,0,,,,,,,,,4,3,4,1,2,2,0,8,7,6,7.0,0
87,,0,,,,4,2,,,,,1,3,0,,,,,,,,,5,3,3,1,3,1,0,13,14,14,13.666666666666666,1
88,,0,,,,2,2,,,,,2,2,1,,,,,,,,,4,4,2,1,1,3,1,11,10,10,10.333333333333334,1
89,,0,,,,4,4,,,,,1,2,0,,,,,,,,,4,1,3,3,5,5,1,8,6,7,7.0,0
90,,0,,,,3,3,,,,,1,3,0,,,,,,,,,4,3,3,1,3,4,0,7,7,8,7.333333333333333,0
91,,0,,,,4,3,,,,,1,1,0,,,,,,,,,4,5,5,1,3,1,0,16,17,18,17.0,1
92,,0,,,,3,1,,,,,1,2,0,,,,,,,,,3,3,3,2,3,2,0,7,6,6,6.333333333333333,0
93,,0,,,,4,2,,,,,2,2,0,,,,,,,,,5,3,3,1,1,1,0,11,10,10,10.333333333333334,1
94,,0,,,,2,2,,,,,1,4,0,,,,,,,,,4,3,4,1,1,4,0,11,13,14,12.666666666666666,1
95,,0,,,,1,1,,,,,2,4,1,,,,,,,,,3,1,2,1,1,1,0,7,10,10,9.0,1
96,,0,,,,4,3,,,,,2,1,0,,,,,,,,,3,3,3,1,1,4,0,11,15,15,13.666666666666666,1
97,,0,,,,2,1,,,,,1,2,0,,,,,,,,,4,3,5,1,1,5,0,8,9,10,9.0,1
98,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,3,4,1,2,1,0,11,14,14,13.0,1
99,,0,,,,4,3,,,,,1,3,0,,,,,,,,,5,3,5,1,1,3,0,7,9,8,8.0,1
100,,0,,,,4,4,,,,,1,1,0,,,,,,,,,4,5,5,5,5,4,1,7,7,5,6.333333333333333,0
101,,0,,,,4,4,,,,,1,3,0,,,,,,,,,4,4,3,1,1,4,0,16,17,17,16.666666666666668,1
102,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,3,3,1,1,5,0,10,13,14,12.333333333333334,1
103,,0,,,,3,2,,,,,2,2,0,,,,,,,,,4,3,5,1,1,2,2,7,6,6,6.333333333333333,0
104,,0,,,,3,4,,,,,1,2,0,,,,,,,,,5,4,4,1,1,1,0,16,18,18,17.333333333333332,1
105,,0,,,,3,3,,,,,1,4,0,,,,,,,,,4,3,3,1,1,4,0,10,11,11,10.666666666666666,1
106,,0,,,,2,2,,,,,1,4,0,,,,,,,,,5,1,2,1,1,3,0,7,8,8,7.666666666666667,0
107,,0,,,,3,3,,,,,1,3,0,,,,,,,,,5,3,3,1,1,5,0,16,18,18,17.333333333333332,1
108,,0,,,,4,4,,,,,4,4,0,,,,,,,,,1,3,5,3,5,1,0,10,13,13,12.0,1
109,,0,,,,4,4,,,,,1,3,0,,,,,,,,,5,4,5,1,1,4,0,14,15,16,15.0,1
110,,0,,,,4,4,,,,,1,1,0,,,,,,,,,5,5,3,1,1,4,0,18,19,19,18.666666666666668,1
111,,0,,,,3,3,,,,,1,3,1,,,,,,,,,4,1,2,1,1,2,0,7,10,10,9.0,1
112,,0,,,,2,2,,,,,1,2,1,,,,,,,,,3,1,2,1,1,5,0,10,13,13,12.0,1
113,,0,,,,4,2,,,,,1,1,0,,,,,,,,,3,5,2,1,1,3,0,18,19,19,18.666666666666668,1
114,,0,,,,2,1,,,,,1,2,0,,,,,,,,,5,4,2,1,1,5,0,9,9,9,9.0,1
115,,0,,,,4,4,,,,,1,2,0,,,,,,,,,5,4,4,1,2,5,0,15,15,16,15.333333333333334,1
116,,0,,,,4,4,,,,,2,2,0,,,,,,,,,4,4,3,1,1,2,0,11,13,14,12.666666666666666,1
117,,0,,,,3,3,,,,,2,1,0,,,,,,,,,5,4,2,1,1,5,0,13,14,13,13.333333333333334,1
118,,1,,,,1,3,,,,,3,2,1,,,,,,,,,5,2,4,1,4,5,1,9,7,8,8.0,1
119,,0,,,,3,4,,,,,1,1,0,,,,,,,,,3,4,3,1,2,4,0,14,13,13,13.333333333333334,1
120,,0,,,,1,2,,,,,1,2,0,,,,,,,,,3,2,3,1,2,1,0,16,15,15,15.333333333333334,1
121,,0,,,,2,2,,,,,1,4,0,,,,,,,,,5,5,4,1,2,5,0,16,14,15,15.0,1
122,,0,,,,2,4,,,,,2,2,0,,,,,,,,,4,2,2,1,2,5,0,13,13,13,13.0,1
123,,0,,,,4,4,,,,,1,1,0,,,,,,,,,3,4,4,1,4,5,1,14,11,13,12.666666666666666,1
124,,0,,,,2,2,,,,,1,2,0,,,,,,,,,5,4,4,1,1,5,0,8,7,8,7.666666666666667,0
125,,0,,,,3,4,,,,,1,1,0,,,,,,,,,5,5,5,3,2,5,0,13,13,12,12.666666666666666,1
126,,0,,,,3,4,,,,,1,2,0,,,,,,,,,5,3,2,1,1,1,0,7,10,11,9.333333333333334,1
127,,2,,,,0,1,,,,,1,2,3,,,,,,,,,3,4,2,1,1,5,0,7,8,9,8.0,1
128,,1,,,,2,2,,,,,1,1,2,,,,,,,,,3,3,3,1,2,4,0,7,4,0,3.6666666666666665,0
129,,0,,,,4,4,,,,,1,1,0,,,,,,,,,3,5,5,2,5,4,0,18,18,18,18.0,1
130,,0,,,,3,4,,,,,2,3,2,,,,,,,,,4,2,2,2,2,5,0,12,0,0,4.0,0
131,,0,,,,1,1,,,,,3,1,0,,,,,,,,,4,3,3,1,2,4,0,8,0,0,2.6666666666666665,0
132,,1,,,,2,2,,,,,1,1,0,,,,,,,,,3,4,4,1,3,5,1,10,13,12,11.666666666666666,1
133,,0,,,,3,4,,,,,1,1,0,,,,,,,,,3,2,1,1,4,5,1,12,11,11,11.333333333333334,1
134,,0,,,,3,4,,,,,4,2,0,,,,,,,,,5,3,3,1,1,5,0,9,0,0,3.0,0
135,,0,,,,4,4,,,,,1,3,0,,,,,,,,,4,3,3,1,1,5,0,11,0,0,3.6666666666666665,0
136,,1,,,,3,4,,,,,3,2,0,,,,,,,,,5,4,5,2,4,5,0,10,0,0,3.3333333333333335,0
137,,0,,,,3,3,,,,,2,1,2,,,,,,,,,4,3,2,1,1,5,0,4,0,0,1.3333333333333333,0
138,,0,,,,1,1,,,,,1,2,1,,,,,,,,,4,4,4,1,3,5,0,14,12,12,12.666666666666666,1
139,,0,,,,4,4,,,,,2,1,0,,,,,,,,,4,3,2,1,1,5,0,16,16,15,15.666666666666666,1
140,,0,,,,4,3,,,,,2,4,0,,,,,,,,,2,2,2,1,1,3,0,7,9,0,5.333333333333333,0
141,,0,,,,2,2,,,,,2,1,2,,,,,,,,,2,3,3,2,2,2,0,9,9,9,9.0,1
142,,0,,,,4,4,,,,,1,3,0,,,,,,,,,4,2,2,1,1,5,0,9,11,11,10.333333333333334,1
143,,0,,,,1,1,,,,,1,1,0,,,,,,,,,3,4,4,3,3,1,0,14,14,13,13.666666666666666,1
144,,1,,,,2,1,,,,,1,1,3,,,,,,,,,5,4,5,1,2,5,0,5,0,0,1.6666666666666667,0
145,,0,,,,1,1,,,,,1,2,0,,,,,,,,,4,4,2,1,2,5,0,8,11,11,10.0,1
146,,0,,,,3,2,,,,,1,2,3,,,,,,,,,3,3,2,1,1,3,0,6,7,0,4.333333333333333,0
147,,0,,,,1,2,,,,,1,2,0,,,,,,,,,4,3,2,1,1,5,0,10,11,11,10.666666666666666,1
148,,0,,,,4,4,,,,,1,1,0,,,,,,,,,3,3,2,2,1,5,0,7,6,0,4.333333333333333,0
149,,0,,,,2,1,,,,,4,1,3,,,,,,,,,4,5,5,2,5,5,0,8,9,10,9.0,1
150,,1,,,,1,1,,,,,1,1,3,,,,,,,,,2,3,5,2,5,4,0,6,5,0,3.6666666666666665,0
151,,0,,,,2,1,,,,,1,1,1,,,,,,,,,4,4,4,3,5,5,0,12,13,14,13.0,1
152,,0,,,,3,3,,,,,2,3,2,,,,,,,,,4,2,1,2,3,3,0,10,10,10,10.0,1
153,,2,,,,3,2,,,,,1,1,3,,,,,,,,,4,5,4,1,1,4,0,5,0,0,1.6666666666666667,0
154,,1,,,,4,4,,,,,1,1,0,,,,,,,,,4,2,1,1,1,4,0,11,11,12,11.333333333333334,1
155,,0,,,,2,3,,,,,1,2,0,,,,,,,,,4,4,4,1,1,1,0,11,8,8,9.0,1
156,,1,,,,1,2,,,,,1,1,0,,,,,,,,,2,2,2,3,3,5,0,16,12,13,13.666666666666666,1
157,,1,,,,1,1,,,,,3,1,3,,,,,,,,,5,2,5,1,5,4,0,9,8,10,9.0,1
158,,0,,,,2,2,,,,,3,1,0,,,,,,,,,4,2,2,1,2,3,0,17,15,15,15.666666666666666,1
159,,0,,,,3,3,,,,,1,2,1,,,,,,,,,4,5,5,4,4,5,0,10,12,12,11.333333333333334,1
160,,1,,,,2,1,,,,,2,1,2,,,,,,,,,3,3,2,2,2,5,0,7,6,0,4.333333333333333,0
161,,0,,,,3,2,,,,,2,2,2,,,,,,,,,4,4,4,1,4,3,0,5,9,7,7.0,0
162,,0,,,,1,2,,,,,2,1,1,,,,,,,,,4,4,4,2,4,5,0,7,0,0,2.3333333333333335,0
163,,1,,,,1,3,,,,,1,1,0,,,,,,,,,5,3,3,1,4,2,0,10,10,10,10.0,1
164,,1,,,,1,1,,,,,4,2,3,,,,,,,,,5,3,5,1,5,5,0,5,8,7,6.666666666666667,0
165,,0,,,,3,2,,,,,2,1,1,,,,,,,,,4,5,2,1,1,2,1,12,11,12,11.666666666666666,1
166,,0,,,,2,2,,,,,1,2,0,,,,,,,,,4,3,5,2,4,4,0,10,10,10,10.0,1
167,,0,,,,4,2,,,,,1,2,0,,,,,,,,,4,2,3,1,1,3,0,14,15,16,15.0,1
168,,0,,,,2,2,,,,,1,2,0,,,,,,,,,5,1,5,1,1,4,0,6,7,0,4.333333333333333,0
169,,0,,,,4,4,,,,,1,2,0,,,,,,,,,4,4,2,1,1,3,0,14,14,14,14.0,1
170,,0,,,,3,4,,,,,3,1,2,,,,,,,,,3,4,5,2,4,2,0,6,5,0,3.6666666666666665,0
171,,0,,,,1,0,,,,,2,2,0,,,,,,,,,4,3,2,1,1,3,0,13,15,16,14.666666666666666,1
172,,1,,,,4,4,,,,,1,2,0,,,,,,,,,4,4,4,1,3,5,0,13,11,10,11.333333333333334,1
173,,0,,,,1,3,,,,,1,2,3,,,,,,,,,4,3,5,1,1,3,0,8,7,0,5.0,0
174,,0,,,,3,3,,,,,2,2,0,,,,,,,,,4,4,5,1,1,4,0,10,11,9,10.0,1
175,,1,,,,4,3,,,,,2,2,0,,,,,,,,,4,4,4,4,4,4,0,10,9,9,9.333333333333334,1
176,,0,,,,2,2,,,,,2,2,0,,,,,,,,,3,4,4,1,4,5,0,13,13,11,12.333333333333334,1
177,,1,,,,3,3,,,,,1,2,0,,,,,,,,,4,3,4,1,4,4,0,6,5,6,5.666666666666667,0
178,,0,,,,4,2,,,,,1,1,0,,,,,,,,,4,3,3,3,4,3,0,10,8,9,9.0,1
179,,1,,,,4,3,,,,,1,2,0,,,,,,,,,5,2,3,1,1,2,0,10,10,11,10.333333333333334,1
180,,0,,,,4,3,,,,,1,2,0,,,,,,,,,3,4,3,2,3,3,0,9,8,8,8.333333333333334,1
181,,0,,,,3,3,,,,,1,2,0,,,,,,,,,4,2,3,1,2,3,0,12,13,12,12.333333333333334,1
182,,1,,,,2,4,,,,,1,2,0,,,,,,,,,5,4,2,2,3,5,0,16,17,17,16.666666666666668,1
183,,1,,,,3,3,,,,,1,2,0,,,,,,,,,5,3,3,2,3,1,2,9,9,8,8.666666666666666,1
184,,0,,,,3,2,,,,,1,2,0,,,,,,,,,1,2,2,1,2,1,1,12,13,12,12.333333333333334,1
185,,1,,,,3,3,,,,,1,2,0,,,,,,,,,4,3,4,2,3,4,1,12,12,11,11.666666666666666,1
186,,0,,,,1,2,,,,,1,1,0,,,,,,,,,3,3,3,1,2,3,0,11,12,11,11.333333333333334,1
187,,0,,,,2,1,,,,,1,2,0,,,,,,,,,4,2,3,1,2,5,0,15,15,15,15.0,1
188,,1,,,,3,3,,,,,1,2,0,,,,,,,,,3,3,3,1,3,3,0,8,7,9,8.0,1
189,,1,,,,1,2,,,,,1,2,0,,,,,,,,,3,1,3,1,5,3,0,8,9,10,9.0,1
190,,0,,,,2,3,,,,,1,2,0,,,,,,,,,4,3,3,1,1,2,0,11,12,13,12.0,1
191,,1,,,,1,1,,,,,1,2,0,,,,,,,,,5,3,3,1,1,3,0,8,8,9,8.333333333333334,1
192,,1,,,,1,2,,,,,2,2,0,,,,,,,,,4,4,4,4,5,5,1,7,8,8,7.666666666666667,0
193,,0,,,,3,3,,,,,1,1,0,,,,,,,,,4,3,2,3,4,5,0,8,9,10,9.0,1
194,,0,,,,2,3,,,,,2,1,0,,,,,,,,,5,3,3,1,1,3,0,13,14,14,13.666666666666666,1
195,,1,,,,2,4,,,,,1,2,0,,,,,,,,,4,3,2,1,1,5,0,14,15,15,14.666666666666666,1
