,index,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
131,131,1,0,0,1,1,1,1,0,5,1,,3,1,0,1,0,1,0,1,0,1,0,4,3,3,1,2,4,0,8,0,0,2.6666666666666665,0
132,132,1,1,0,0,1,2,2,5,5,1,,1,1,0,1,0,1,1,0,0,1,0,3,4,4,1,3,5,1,10,13,12,11.666666666666666,1
133,133,1,0,0,1,0,3,4,4,5,1,,1,1,0,1,1,1,1,0,0,1,1,3,2,1,1,4,5,1,12,11,11,11.333333333333334,1
134,134,0,0,1,1,1,3,4,0,3,1,,4,2,0,1,0,1,1,0,0,0,0,5,3,3,1,1,5,0,9,0,0,3.0,0
135,135,1,0,0,1,1,4,4,4,0,1,,1,3,0,1,0,1,0,0,0,1,0,4,3,3,1,1,5,0,11,0,0,3.6666666666666665,0
136,136,0,1,1,1,1,3,4,0,5,1,,3,2,0,1,1,1,1,0,0,0,1,5,4,5,2,4,5,0,10,0,0,3.3333333333333335,0
137,137,1,0,0,1,0,3,3,5,5,1,,2,1,2,1,0,1,0,1,0,1,0,4,3,2,1,1,5,0,4,0,0,1.3333333333333333,0
138,138,0,0,0,0,1,1,1,4,5,1,,1,2,1,1,1,1,1,0,0,0,0,4,4,4,1,3,5,0,14,12,12,12.666666666666666,1
139,139,1,0,0,1,1,4,4,3,3,1,,2,1,0,1,1,1,0,0,0,1,1,4,3,2,1,1,5,0,16,16,15,15.666666666666666,1
140,140,0,0,0,1,1,4,3,3,4,1,,2,4,0,0,0,1,1,0,0,1,1,2,2,2,1,1,3,0,7,9,0,5.333333333333333,0
141,141,0,0,0,0,1,2,2,4,4,0,,2,1,2,1,0,1,0,0,0,1,1,2,3,3,2,2,2,0,9,9,9,9.0,1
142,142,1,0,0,1,1,4,4,3,4,1,,1,3,0,1,0,0,0,0,0,1,1,4,2,2,1,1,5,0,9,11,11,10.333333333333334,1
143,143,1,0,0,0,1,1,1,0,0,1,,1,1,0,1,1,1,1,0,0,1,1,3,4,4,3,3,1,0,14,14,13,13.666666666666666,1
144,144,0,1,0,1,1,2,1,5,5,2,,1,1,3,1,0,1,1,0,0,1,1,5,4,5,1,2,5,0,5,0,0,1.6666666666666667,0
145,145,1,0,0,1,1,1,1,5,4,1,,1,2,0,1,0,0,1,0,0,1,1,4,4,2,1,2,5,0,8,11,11,10.0,1
146,146,1,0,0,1,1,3,2,1,4,2,,1,2,3,1,0,1,1,0,0,1,1,3,3,2,1,1,3,0,6,7,0,4.333333333333333,0
147,147,1,0,0,1,1,1,2,0,5,1,,1,2,0,1,0,0,1,1,0,1,1,4,3,2,1,1,5,0,10,11,11,10.666666666666666,1
148,148,0,0,0,1,1,4,4,3,3,1,,1,1,0,1,0,1,1,0,1,1,0,3,3,2,2,1,5,0,7,6,0,4.333333333333333,0
149,149,0,0,0,0,0,2,1,4,5,1,,4,1,3,1,1,1,1,0,0,1,1,4,5,5,2,5,5,0,8,9,10,9.0,1
150,150,0,1,0,0,1,1,1,5,5,1,,1,1,3,1,1,1,1,0,1,1,0,2,3,5,2,5,4,0,6,5,0,3.6666666666666665,0
151,151,0,0,0,0,1,2,1,0,5,1,,1,1,1,1,1,1,0,0,0,0,0,4,4,4,3,5,5,0,12,13,14,13.0,1
152,152,1,0,1,1,1,3,3,4,4,0,,2,3,2,1,0,0,0,0,0,1,0,4,2,1,2,3,3,0,10,10,10,10.0,1
153,153,0,2,0,1,1,3,2,4,0,2,,1,1,3,1,0,1,1,0,1,1,0,4,5,4,1,1,4,0,5,0,0,1.6666666666666667,0
154,154,1,1,0,1,1,4,4,5,3,1,,1,1,0,0,0,1,1,0,0,0,0,4,2,1,1,1,4,0,11,11,12,11.333333333333334,1
155,155,0,0,1,1,1,2,3,0,4,1,,1,2,0,0,1,0,0,0,0,0,1,4,4,4,1,1,1,0,11,8,8,9.0,1
156,156,0,1,1,0,1,1,2,5,5,0,,1,1,0,1,1,1,1,0,0,0,1,2,2,2,3,3,5,0,16,12,13,13.666666666666666,1
157,157,1,1,1,1,1,1,1,0,5,1,,3,1,3,1,0,1,0,1,0,0,1,5,2,5,1,5,4,0,9,8,10,9.0,1
158,158,0,0,1,1,1,2,2,0,5,1,,3,1,0,1,1,1,1,1,0,0,1,4,2,2,1,2,3,0,17,15,15,15.666666666666666,1
159,159,0,0,0,1,1,3,3,5,4,1,,1,2,1,1,0,0,1,0,0,1,0,4,5,5,4,4,5,0,10,12,12,11.333333333333334,1
160,160,0,1,1,0,1,2,1,0,5,1,,2,1,2,1,1,1,0,0,1,1,0,3,3,2,2,2,5,0,7,6,0,4.333333333333333,0
161,161,0,0,1,1,1,3,2,5,5,1,,2,2,2,0,0,1,1,0,0,1,0,4,4,4,1,4,3,0,5,9,7,7.0,0
162,162,0,0,0,0,1,1,2,5,5,1,,2,1,1,1,1,1,0,0,0,0,1,4,4,4,2,4,5,0,7,0,0,2.3333333333333335,0
163,163,0,1,0,1,1,1,3,0,4,1,,1,1,0,1,1,1,1,0,1,1,1,5,3,3,1,4,2,0,10,10,10,10.0,1
164,164,0,1,1,0,1,1,1,5,4,1,,4,2,3,1,1,1,0,0,1,0,0,5,3,5,1,5,5,0,5,8,7,6.666666666666667,0
165,165,0,0,0,1,1,3,2,4,4,1,,2,1,1,1,0,1,0,1,1,0,1,4,5,2,1,1,2,1,12,11,12,11.666666666666666,1
166,166,0,0,0,1,1,2,2,5,5,1,,1,2,0,1,1,1,1,0,1,1,1,4,3,5,2,4,4,0,10,10,10,10.0,1
167,167,1,0,0,1,1,4,2,1,4,2,,1,2,0,1,1,0,1,0,0,1,0,4,2,3,1,1,3,0,14,15,16,15.0,1
168,168,1,0,0,1,1,2,2,5,5,2,,1,2,0,1,0,0,1,1,0,1,1,5,1,5,1,1,4,0,6,7,0,4.333333333333333,0
169,169,1,0,0,1,1,4,4,1,1,0,,1,2,0,1,0,0,1,0,0,1,0,4,4,2,1,1,3,0,14,14,14,14.0,1
170,170,0,0,0,1,1,3,4,5,5,1,,3,1,2,1,0,1,0,1,0,1,1,3,4,5,2,4,2,0,6,5,0,3.6666666666666665,0
171,171,0,0,0,1,1,1,0,5,5,0,,2,2,0,1,0,0,0,0,0,1,0,4,3,2,1,1,3,0,13,15,16,14.666666666666666,1
172,172,0,1,0,0,1,4,4,3,5,0,,1,2,0,1,0,0,0,0,0,1,1,4,4,4,1,3,5,0,13,11,10,11.333333333333334,1
173,173,1,0,0,1,1,1,3,0,4,2,,1,2,3,1,1,1,0,1,0,1,0,4,3,5,1,1,3,0,8,7,0,5.0,0
174,174,1,0,0,0,1,3,3,5,5,0,,2,2,0,1,0,0,0,0,0,1,1,4,4,5,1,1,4,0,10,11,9,10.0,1
175,175,0,1,0,0,1,4,3,3,5,1,,2,2,0,1,1,0,0,0,0,1,1,4,4,4,4,4,4,0,10,9,9,9.333333333333334,1
176,176,1,0,0,1,1,2,2,4,5,0,,2,2,0,1,1,0,0,1,0,1,1,3,4,4,1,4,5,0,13,13,11,12.333333333333334,1
177,177,0,1,0,1,1,3,3,5,5,0,,1,2,0,1,1,1,0,1,0,1,1,4,3,4,1,4,4,0,6,5,6,5.666666666666667,0
178,178,0,0,1,1,1,4,2,3,4,3,,1,1,0,1,0,1,0,0,0,1,0,4,3,3,3,4,3,0,10,8,9,9.0,1
179,179,0,1,0,1,1,4,3,5,5,1,,1,2,0,1,0,1,0,0,0,1,0,5,2,3,1,1,2,0,10,10,11,10.333333333333334,1
180,180,0,0,0,1,1,4,3,3,5,2,,1,2,0,1,0,0,0,0,0,1,1,3,4,3,2,3,3,0,9,8,8,8.333333333333334,1
181,181,0,0,0,1,1,3,3,4,5,2,,1,2,0,1,1,0,0,0,0,1,0,4,2,3,1,2,3,0,12,13,12,12.333333333333334,1
182,182,1,1,0,1,1,2,4,4,4,0,,1,2,0,1,0,1,0,0,0,0,1,5,4,2,2,3,5,0,16,17,17,16.666666666666668,1
183,183,1,1,0,0,1,3,3,5,5,0,,1,2,0,1,0,1,0,0,0,1,0,5,3,3,2,3,1,2,9,9,8,8.666666666666666,1
184,184,1,0,0,1,1,3,2,5,5,0,,1,2,0,1,0,0,1,0,0,1,1,1,2,2,1,2,1,1,12,13,12,12.333333333333334,1
185,185,0,1,0,1,1,3,3,4,4,3,,1,2,0,1,0,1,0,0,0,1,0,4,3,4,2,3,4,1,12,12,11,11.666666666666666,1
186,186,0,0,0,1,1,1,2,4,4,3,,1,1,0,1,0,0,0,0,0,1,0,3,3,3,1,2,3,0,11,12,11,11.333333333333334,1
187,187,0,0,0,0,1,2,1,5,5,1,,1,2,0,1,1,0,0,0,0,1,0,4,2,3,1,2,5,0,15,15,15,15.0,1
188,188,1,1,0,1,0,3,3,1,5,0,,1,2,0,1,0,1,1,1,0,1,0,3,3,3,1,3,3,0,8,7,9,8.0,1
189,189,0,1,1,1,1,1,2,0,5,2,,1,2,0,1,1,1,1,0,0,0,1,3,1,3,1,5,3,0,8,9,10,9.0,1
190,190,1,0,0,1,1,2,3,4,4,1,,1,2,0,1,1,1,1,0,0,1,1,4,3,3,1,1,2,0,11,12,13,12.0,1
191,191,1,1,0,1,1,1,1,0,4,1,,1,2,0,1,1,1,0,0,0,1,1,5,3,3,1,1,3,0,8,8,9,8.333333333333334,1
192,192,0,1,0,1,1,1,2,0,4,3,,2,2,0,1,1,0,0,1,0,1,1,4,4,4,4,5,5,1,7,8,8,7.666666666666667,0
193,193,0,0,1,1,1,3,3,4,4,0,,1,1,0,1,0,1,0,0,0,1,1,4,3,2,3,4,5,0,8,9,10,9.0,1
194,194,0,0,0,1,1,2,3,5,5,2,,2,1,0,1,1,1,1,0,0,1,1,5,3,3,1,1,3,0,13,14,14,13.666666666666666,1
195,195,1,1,0,0,1,2,4,4,4,1,,1,2,0,1,1,1,0,0,0,1,0,4,3,2,1,1,5,0,14,15,15,14.666666666666666,1
196,196,0,1,0,1,1,4,4,4,3,2,,1,1,0,1,1,1,1,0,0,1,1,5,2,3,1,2,5,0,17,15,16,16.0,1
197,197,0,0,1,0,1,3,3,3,5,2,,3,1,0,1,0,0,0,0,0,1,1,3,3,4,3,5,3,0,9,9,10,9.333333333333334,1
198,198,1,1,0,1,1,4,4,4,3,2,,2,1,1,1,0,1,1,0,0,1,1,4,2,4,2,3,2,2,18,18,18,18.0,1
199,199,1,0,0,0,1,4,4,3,3,0,,1,2,0,1,0,0,1,0,0,1,1,4,5,2,1,2,3,0,9,9,10,9.333333333333334,1
200,200,1,0,0,1,1,4,3,1,5,2,,1,2,0,1,0,1,0,0,0,1,1,4,3,5,1,5,2,0,16,16,16,16.0,1
201,201,1,0,0,1,1,2,3,5,5,0,,1,2,0,0,0,0,0,0,0,0,1,4,4,3,1,3,4,0,8,10,10,9.333333333333334,1
202,202,1,1,0,1,1,1,1,5,5,1,,1,2,0,1,0,0,1,1,0,0,1,4,4,4,1,3,1,0,9,9,10,9.333333333333334,1
203,203,1,1,1,1,1,2,2,5,5,0,,1,1,0,1,0,1,1,0,0,1,1,5,3,2,1,2,3,1,7,6,6,6.333333333333333,0
204,204,1,0,1,1,1,2,2,4,4,0,,2,4,0,1,0,0,0,1,0,1,1,5,3,5,1,1,5,0,10,10,11,10.333333333333334,1
205,205,1,1,0,1,1,3,4,0,4,2,,1,3,1,1,0,0,1,0,0,1,0,4,4,3,3,4,5,2,10,9,9,9.333333333333334,1
206,206,1,0,0,1,0,3,1,4,5,1,,1,2,3,1,0,0,1,0,0,1,1,2,3,3,2,2,4,0,7,7,7,7.0,0
207,207,1,0,0,1,1,4,3,3,5,3,,1,2,0,1,1,0,0,0,0,1,0,1,3,2,1,1,1,0,11,12,13,12.0,1
208,208,1,0,0,1,1,1,1,0,5,2,,2,1,0,1,0,0,1,0,0,0,1,4,3,2,1,4,5,0,9,9,10,9.333333333333334,1
209,209,1,1,1,1,1,4,3,3,5,0,,2,3,0,1,0,0,0,0,0,1,0,4,4,2,1,1,4,0,7,7,7,7.0,0
210,210,1,2,0,1,1,3,3,5,5,0,,1,4,0,1,0,0,0,0,0,1,1,4,3,3,1,2,3,0,8,8,8,8.0,1
211,211,0,1,0,0,1,4,4,4,5,2,,1,2,0,1,0,0,1,0,0,1,0,5,3,5,4,5,3,1,12,12,13,12.333333333333334,1
212,212,1,0,0,1,0,2,2,5,5,0,,1,2,0,0,0,0,1,0,0,1,1,3,3,4,1,1,4,0,12,13,14,13.0,1
213,213,0,1,0,1,1,2,2,4,5,2,,1,2,1,1,0,0,0,0,0,1,1,4,4,4,2,4,5,1,6,7,8,7.0,0
214,214,1,1,1,0,1,4,4,4,5,3,,1,1,0,1,0,0,1,0,0,0,1,5,2,1,1,2,3,1,8,10,10,9.333333333333334,1
215,215,1,1,0,0,1,3,2,5,5,0,,2,2,0,1,1,0,1,0,0,1,1,4,4,4,1,3,1,0,14,15,15,14.666666666666666,1
216,216,1,1,0,1,1,4,3,5,5,0,,1,2,2,1,1,0,1,0,0,1,0,3,4,5,2,4,1,2,6,6,4,5.333333333333333,0
217,217,0,1,0,0,1,3,3,4,1,2,,1,2,1,1,0,0,1,0,0,1,1,3,2,4,2,4,4,1,6,6,8,6.666666666666667,0
218,218,1,1,0,1,1,2,3,0,5,2,,2,1,0,1,0,0,1,0,0,0,1,3,3,3,1,4,3,0,7,7,8,7.333333333333333,0
219,219,1,1,0,1,1,2,2,0,0,1,,1,3,0,1,0,0,0,0,0,1,1,4,3,3,1,1,4,0,9,10,10,9.666666666666666,1
220,220,1,1,1,1,1,2,1,0,4,0,,2,2,0,1,0,1,0,0,0,1,1,4,2,5,1,2,5,0,6,6,6,6.0,0
221,221,1,1,0,1,1,1,1,0,5,0,,1,3,1,1,0,1,0,0,0,0,0,4,3,4,1,1,5,0,6,5,0,3.6666666666666665,0
222,222,1,0,0,1,1,2,3,4,3,3,,1,2,0,0,1,1,1,0,0,1,1,2,3,1,1,1,3,0,16,16,17,16.333333333333332,1
223,223,0,1,0,1,1,2,2,5,5,2,,2,2,0,1,0,0,1,0,0,1,1,3,3,3,5,5,4,0,12,13,13,12.666666666666666,1
224,224,1,0,0,1,1,4,4,3,4,2,,1,3,0,1,0,1,0,1,0,1,1,5,3,2,1,1,5,0,13,13,14,13.333333333333334,1
225,225,1,1,1,1,1,3,1,5,5,0,,1,2,1,1,1,1,0,0,0,1,0,5,3,3,1,1,4,1,9,8,7,8.0,1
226,226,1,1,0,1,1,3,2,5,5,1,,1,2,0,1,1,1,0,1,0,1,1,5,3,4,1,3,3,0,16,15,15,15.333333333333334,1
227,227,0,1,0,0,1,2,3,4,4,0,,1,2,0,1,0,0,1,1,0,1,1,5,3,3,1,3,3,0,12,11,12,11.666666666666666,1
228,228,0,1,0,0,1,2,1,0,5,1,,4,2,0,0,0,0,0,0,0,1,0,4,3,2,4,5,3,1,10,8,9,9.0,1
229,229,1,1,0,1,0,2,1,5,5,1,,2,3,0,1,1,1,0,0,0,1,0,3,2,3,1,2,3,0,12,10,12,11.333333333333334,1
230,230,1,1,0,0,1,4,3,1,5,0,,1,2,0,1,1,1,0,0,0,1,0,3,2,3,1,2,3,1,13,13,14,13.333333333333334,1
231,231,0,1,1,1,1,2,2,5,5,1,,2,2,0,1,0,0,0,0,0,1,1,4,5,2,1,1,1,0,11,11,11,11.0,1
232,232,0,1,0,1,1,4,4,3,3,0,,1,2,0,0,0,1,0,0,0,1,0,4,5,5,1,3,2,1,11,9,9,9.666666666666666,1
233,233,0,0,0,1,1,4,4,1,5,0,,1,2,0,1,0,0,0,0,0,1,1,4,2,4,2,4,1,0,14,13,13,13.333333333333334,1
234,234,0,0,0,0,1,1,1,5,5,2,,2,2,0,1,0,0,1,0,0,1,1,3,4,2,1,1,5,1,9,7,6,7.333333333333333,0
235,235,0,0,0,1,1,3,2,0,5,0,,2,3,0,1,1,1,0,0,0,1,0,5,3,3,1,3,2,0,11,9,10,10.0,1
236,236,0,1,0,0,1,2,2,5,5,2,,1,2,0,1,1,0,0,1,0,1,0,4,4,2,5,5,4,0,14,13,13,13.333333333333334,1
237,237,1,0,0,1,1,2,1,5,5,2,,1,1,0,1,1,1,1,0,0,1,0,4,5,2,1,1,5,1,13,12,12,12.333333333333334,1
238,238,1,1,1,1,1,2,1,0,4,1,,3,2,0,1,1,1,0,0,0,0,1,2,1,1,1,1,3,0,13,11,11,11.666666666666666,1
239,239,0,1,0,1,1,2,2,5,4,0,,1,2,1,1,1,1,1,0,1,1,1,5,5,4,3,5,2,0,7,7,0,4.666666666666667,0
240,240,0,1,0,0,1,4,3,1,5,1,,2,2,0,1,1,1,0,0,0,1,0,2,5,5,1,4,5,1,12,12,12,12.0,1
241,241,0,1,1,0,0,4,4,3,5,1,,2,2,0,1,0,0,1,0,0,1,1,3,3,3,2,3,4,0,10,11,12,11.0,1
242,242,0,0,0,0,1,4,3,3,5,1,,1,1,0,1,1,1,0,1,0,1,1,5,4,5,1,1,3,0,6,0,0,2.0,0
243,243,0,0,0,1,1,4,4,4,4,1,,1,1,0,1,1,1,0,0,0,1,1,5,3,2,1,2,5,0,13,12,12,12.333333333333334,1
244,244,1,1,0,1,1,2,1,5,5,1,,2,3,0,1,0,0,1,1,0,1,0,4,4,4,1,1,3,0,7,0,0,2.3333333333333335,0
245,245,0,0,0,1,1,2,1,5,5,1,,3,1,0,1,1,1,1,0,0,1,1,4,3,3,1,1,4,0,18,18,18,18.0,1
246,246,0,1,0,1,1,2,3,5,5,1,,2,1,0,1,1,1,1,0,0,1,1,5,2,2,1,1,2,0,12,12,13,12.333333333333334,1
247,247,0,2,0,1,1,3,1,4,4,3,,1,1,3,1,1,1,1,1,1,1,0,5,4,5,5,5,1,1,6,8,8,7.333333333333333,0
248,248,0,1,1,0,1,3,3,5,4,1,,1,2,1,1,0,1,1,0,0,1,0,4,3,3,1,3,5,0,3,5,5,4.333333333333333,0
249,249,0,0,0,1,1,0,2,5,5,3,,1,1,0,1,1,0,1,1,0,1,1,4,3,2,2,4,5,0,13,15,15,14.333333333333334,1
250,250,0,1,0,1,1,3,2,4,5,1,,2,1,1,1,1,1,1,0,1,1,1,4,4,5,2,4,5,0,6,8,8,7.333333333333333,0
251,251,0,0,0,1,1,3,3,0,5,0,,3,2,0,0,0,1,1,1,0,1,1,5,3,3,1,3,2,0,7,10,10,9.0,1
252,252,0,1,0,1,1,2,1,4,4,3,,1,1,1,1,1,1,1,1,1,1,1,3,2,5,2,5,5,0,6,9,8,7.666666666666667,0
253,253,0,0,1,1,1,2,1,5,5,1,,2,1,0,1,1,1,0,1,0,0,1,3,3,2,1,3,3,0,8,9,8,8.333333333333334,1
254,254,0,1,1,1,1,2,1,5,5,1,,1,1,0,1,1,1,1,1,0,1,1,4,4,2,2,4,5,0,8,12,12,10.666666666666666,1
255,255,0,1,0,0,1,1,1,1,5,1,,2,1,1,1,0,1,0,0,0,1,1,4,4,4,1,2,5,0,7,9,8,8.0,1
256,256,1,1,0,0,1,4,2,3,4,0,,1,4,0,1,0,0,0,0,0,1,1,4,2,3,1,1,4,0,14,12,13,13.0,1
257,257,0,2,0,0,0,4,3,4,0,0,,1,2,0,1,0,1,1,0,0,1,1,4,3,1,1,1,1,1,11,11,11,11.0,1
258,258,0,1,0,1,1,2,1,5,5,2,,1,2,0,1,1,1,0,0,0,1,1,5,2,4,1,2,4,0,15,14,14,14.333333333333334,1
259,259,1,1,0,0,1,2,2,4,4,1,,1,4,0,1,1,0,0,0,0,1,0,3,4,1,1,1,2,0,10,9,0,6.333333333333333,0
260,260,1,1,0,1,1,4,3,4,5,2,,1,2,0,1,0,0,1,0,0,1,0,3,1,2,1,3,2,2,17,18,18,17.666666666666668,1
261,261,0,1,0,1,1,4,3,3,5,1,,1,2,0,1,0,0,1,1,0,1,1,4,3,2,1,1,3,0,8,8,8,8.0,1
262,262,0,1,1,1,1,3,2,5,5,1,,1,3,0,1,1,1,0,1,0,0,1,5,3,2,1,1,3,0,13,12,12,12.333333333333334,1
