,index,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,GradeAvg,result
263,263,1,1,0,1,1,3,3,5,5,2,,1,3,0,1,1,1,0,1,0,0,1,3,2,3,1,1,4,0,10,9,9,9.333333333333334,1
264,264,1,1,0,1,1,2,2,0,4,2,,1,3,0,1,0,0,0,0,0,1,0,4,3,3,1,1,3,0,9,10,0,6.333333333333333,0
265,265,0,1,1,0,0,3,4,5,5,0,,2,2,0,1,0,0,0,0,0,1,1,4,2,5,3,4,1,1,17,17,17,17.0,1
266,266,0,1,0,1,1,3,1,4,5,3,,1,2,0,1,1,0,0,0,0,1,0,5,4,4,3,4,5,0,9,9,10,9.333333333333334,1
267,267,1,1,1,1,1,4,4,3,5,0,,2,2,0,1,1,0,0,0,0,1,1,4,3,4,2,2,4,0,12,10,11,11.0,1
268,268,0,1,0,1,1,4,2,1,5,0,,1,2,0,1,0,0,0,0,0,1,0,5,4,5,1,3,5,0,10,9,10,9.666666666666666,1
269,269,1,1,1,1,1,2,1,5,5,0,,2,2,0,1,0,1,1,0,1,1,0,4,3,5,1,2,3,0,6,0,0,2.0,0
270,270,1,2,0,1,1,3,3,5,4,2,,1,2,2,1,0,0,0,0,0,1,1,4,3,5,3,3,5,1,9,9,9,9.0,1
271,271,1,1,0,1,1,2,3,5,4,0,,1,4,0,1,0,0,0,0,0,1,0,4,5,5,1,3,2,0,15,14,14,14.333333333333334,1
272,272,1,1,0,0,1,1,1,5,5,2,,2,2,0,1,0,0,1,1,0,0,1,4,4,3,1,1,3,0,11,11,11,11.0,1
273,273,0,1,1,1,1,1,2,0,0,2,,1,2,0,1,0,0,0,1,0,0,0,3,5,2,2,2,1,0,15,14,14,14.333333333333334,1
274,274,1,1,0,1,1,2,4,0,1,0,,2,2,0,1,0,0,1,0,0,1,0,4,3,3,1,1,1,0,10,10,10,10.0,1
275,275,1,1,0,0,1,2,2,4,5,1,,2,2,0,0,0,0,1,0,0,1,0,4,4,4,2,3,5,0,12,12,12,12.0,1
276,276,1,1,1,1,0,3,2,5,4,2,,2,2,0,1,1,1,1,1,1,1,0,4,1,1,1,1,5,2,10,9,9,9.333333333333334,1
277,277,0,1,0,1,1,4,4,3,4,2,,2,1,0,1,1,0,0,0,0,1,1,3,2,4,1,4,3,2,9,9,9,9.0,1
278,278,1,1,0,1,1,4,4,1,1,0,,1,2,1,0,0,1,0,0,0,1,0,2,4,4,1,1,4,1,9,8,8,8.333333333333334,1
279,279,0,1,0,0,1,4,3,3,4,1,,2,1,0,1,1,0,0,0,0,1,1,4,2,3,1,2,1,0,10,11,10,10.333333333333334,1
280,280,0,1,0,0,0,4,1,4,5,2,,2,1,0,1,1,0,0,0,0,1,0,4,5,4,2,4,5,2,8,8,8,8.0,1
281,281,0,1,0,0,0,3,2,3,4,2,,1,1,1,1,1,1,1,0,0,1,1,4,4,4,3,4,3,1,11,9,10,10.0,1
282,282,1,1,1,0,1,1,1,0,5,0,,2,4,0,1,0,0,0,0,0,0,1,5,2,2,1,1,3,0,12,12,12,12.0,1
283,283,1,1,0,1,1,1,1,5,5,2,,2,2,0,0,1,1,0,0,0,1,1,5,4,4,1,1,4,0,8,9,10,9.0,1
284,284,1,1,0,1,1,2,2,5,5,1,,1,2,0,1,0,1,1,1,0,1,1,5,4,5,1,2,5,0,10,9,11,10.0,1
285,285,0,1,0,1,1,1,1,5,5,0,,1,2,0,1,1,0,1,1,0,1,1,4,3,3,1,2,4,0,12,10,11,11.0,1
286,286,1,1,0,1,1,2,2,0,0,3,,1,3,0,1,0,0,1,0,0,1,1,4,3,3,1,2,2,0,18,18,19,18.333333333333332,1
287,287,1,1,0,1,1,1,1,4,3,0,,1,3,0,1,0,0,1,0,0,1,1,4,3,3,1,1,3,0,13,12,12,12.333333333333334,1
288,288,0,1,0,1,1,2,1,4,4,0,,1,3,0,1,1,0,0,0,0,1,1,4,2,4,1,3,2,0,15,14,14,14.333333333333334,1
289,289,0,1,0,0,0,4,4,3,3,0,,1,2,0,1,0,0,0,0,0,1,1,5,4,3,1,1,2,0,15,13,15,14.333333333333334,1
290,290,0,1,0,1,1,4,2,3,5,2,,1,2,0,1,0,0,0,0,0,1,0,4,3,2,1,4,5,1,12,11,11,11.333333333333334,1
291,291,1,1,0,1,1,4,3,1,4,0,,1,3,0,1,0,0,1,0,0,1,1,4,2,2,1,2,3,0,15,15,15,15.0,1
292,292,1,1,0,0,1,2,1,4,0,0,,1,2,1,1,1,1,1,0,0,1,0,5,4,3,1,1,5,1,12,12,13,12.333333333333334,1
293,293,1,1,1,0,1,3,1,4,5,0,,2,4,0,1,0,0,1,0,0,0,1,3,1,2,1,1,3,0,18,18,18,18.0,1
294,294,0,1,1,0,1,3,2,4,5,0,,2,3,0,1,0,0,0,0,0,1,1,5,4,2,1,1,4,0,14,13,14,13.666666666666666,1
295,295,0,1,0,1,1,3,3,1,5,2,,1,1,0,1,0,0,1,0,0,1,1,4,4,3,1,3,5,0,14,12,11,12.333333333333334,1
296,296,1,2,0,1,1,4,4,1,5,0,,2,2,0,1,0,0,0,0,0,1,1,2,3,4,2,3,2,0,10,9,0,6.333333333333333,0
297,297,1,1,0,0,1,4,3,5,5,2,,2,2,0,1,0,0,1,0,0,1,0,4,4,5,1,2,2,0,10,8,8,8.666666666666666,1
298,298,1,1,0,1,1,4,3,5,5,0,,1,4,0,1,0,0,1,0,0,1,1,4,3,3,1,1,3,0,14,13,14,13.666666666666666,1
299,299,0,1,0,0,1,4,4,3,3,2,,1,1,0,1,0,0,1,0,0,1,0,1,4,2,2,2,1,0,16,15,16,15.666666666666666,1
300,300,1,1,0,0,0,4,4,1,5,2,,1,2,0,1,0,1,1,0,0,1,0,4,2,4,1,1,4,1,12,10,11,11.0,1
301,301,0,1,0,0,1,4,4,5,3,2,,2,1,0,1,1,0,1,0,0,1,1,4,1,1,2,2,5,0,11,11,10,10.666666666666666,1
302,302,1,1,0,1,1,4,2,5,5,0,,2,3,0,1,0,0,1,0,0,1,1,4,3,3,1,1,3,0,15,12,14,13.666666666666666,1
303,303,1,1,0,1,1,3,2,1,1,0,,1,4,0,1,0,0,0,1,0,1,1,5,2,2,1,2,5,0,17,17,18,17.333333333333332,1
304,304,0,2,0,1,1,3,3,5,5,2,,1,2,1,1,0,1,0,0,0,1,0,4,4,4,1,1,3,1,15,14,13,14.0,1
305,305,1,1,0,1,1,2,4,4,0,0,,1,2,1,1,0,0,0,0,0,1,1,4,4,3,1,1,3,0,14,12,12,12.666666666666666,1
306,306,0,2,0,1,0,3,2,4,5,1,,1,1,0,1,1,1,0,0,0,0,1,5,5,3,1,1,5,0,17,18,18,17.666666666666668,1
307,307,0,2,0,1,1,4,4,3,4,0,,2,1,1,1,0,0,1,0,0,1,0,4,3,4,1,1,4,2,8,9,8,8.333333333333334,1
308,308,0,2,1,1,1,3,3,5,4,0,,1,2,1,1,1,1,0,0,0,0,0,4,5,3,1,2,5,0,15,12,12,13.0,1
309,309,1,2,0,0,1,1,1,0,5,0,,1,2,1,0,0,1,0,1,0,1,1,4,4,3,1,3,3,1,12,10,10,10.666666666666666,1
310,310,1,2,0,0,1,1,2,4,4,2,,1,2,1,1,1,1,0,1,0,0,0,4,2,4,2,2,3,0,9,9,0,6.0,0
311,311,1,2,0,1,1,2,1,0,5,3,,3,2,0,1,0,1,1,0,1,1,0,3,4,1,1,1,2,1,14,12,13,13.0,1
312,312,0,2,0,1,1,1,2,5,4,1,,1,2,1,1,1,1,1,1,0,1,1,4,5,2,2,2,4,0,13,11,11,11.666666666666666,1
313,313,1,2,0,0,1,3,2,4,5,0,,2,2,1,1,0,0,1,1,0,1,0,4,2,2,1,2,1,2,13,10,11,11.333333333333334,1
314,314,1,2,0,1,1,1,1,0,1,2,,1,3,2,1,1,1,1,1,0,1,0,4,1,2,1,1,3,1,15,13,13,13.666666666666666,1
315,315,1,2,1,1,1,2,3,5,5,0,,1,3,1,1,1,1,1,0,0,1,0,4,1,2,1,1,3,2,13,11,11,11.666666666666666,1
316,316,1,1,0,1,1,2,1,4,5,1,,2,2,0,1,0,0,0,0,0,1,1,5,3,3,1,2,1,0,8,8,0,5.333333333333333,0
317,317,1,1,0,1,1,4,3,5,5,1,,1,3,0,1,0,0,0,0,0,1,0,4,3,4,1,1,5,0,9,10,9,9.333333333333334,1
318,318,1,1,1,1,1,3,4,0,4,1,,1,3,0,1,0,0,0,1,0,1,1,4,3,4,2,5,5,0,11,11,10,10.666666666666666,1
319,319,1,1,0,1,1,4,4,3,5,1,,1,2,0,1,0,0,1,0,0,1,1,4,4,4,3,3,5,0,11,11,11,11.0,1
320,320,1,1,0,1,0,4,3,4,4,1,,1,2,0,1,0,0,1,0,0,1,0,5,2,2,1,2,5,2,13,13,13,13.0,1
321,321,1,1,0,1,1,2,2,5,5,1,,1,2,0,1,0,1,1,0,0,0,0,4,2,2,1,1,3,1,11,9,9,9.666666666666666,1
322,322,1,1,1,0,1,2,2,4,4,1,,1,3,0,1,0,0,0,0,0,1,1,3,3,2,2,2,3,0,11,11,11,11.0,1
323,323,1,1,0,1,1,3,1,4,4,1,,1,3,0,1,0,1,1,1,0,1,1,3,4,3,2,3,5,0,12,14,15,13.666666666666666,1
324,324,1,1,0,0,1,0,2,0,0,2,,2,3,0,1,1,1,1,0,0,1,1,3,3,3,2,3,2,0,16,15,15,15.333333333333334,1
325,325,0,1,0,1,1,4,4,5,5,1,,1,3,0,1,1,1,0,0,0,1,1,4,3,3,2,2,3,0,9,12,11,10.666666666666666,1
326,326,0,1,0,1,1,3,3,5,4,0,,1,1,0,1,1,1,0,1,0,1,1,4,3,5,3,5,5,0,14,15,16,15.0,1
327,327,0,1,1,1,1,2,2,4,5,1,,4,1,0,1,0,1,1,0,0,1,1,4,4,5,5,5,4,0,11,10,10,10.333333333333334,1
328,328,1,1,0,1,1,4,4,3,4,1,,1,3,0,1,0,0,0,0,0,1,1,5,4,4,1,3,4,0,10,9,9,9.333333333333334,1
329,329,1,1,0,1,1,4,4,3,3,1,,2,3,0,1,0,0,1,1,0,1,0,4,3,3,1,2,4,0,14,14,14,14.0,1
330,330,0,1,0,0,1,2,2,5,5,1,,1,4,0,1,0,1,0,0,0,1,1,4,5,5,2,4,5,0,9,8,8,8.333333333333334,1
331,331,1,1,1,1,1,2,4,0,5,1,,1,3,0,1,0,1,1,0,0,1,0,4,4,3,1,1,5,0,12,14,14,13.333333333333334,1
332,332,1,1,0,1,1,3,3,4,4,2,,1,2,0,1,1,1,0,0,0,1,1,5,3,4,1,1,4,0,7,0,0,2.3333333333333335,0
333,333,1,1,0,0,1,2,2,5,5,2,,1,2,0,1,1,1,0,1,0,1,0,4,3,3,1,1,2,0,8,8,0,5.333333333333333,0
334,334,1,1,1,1,1,2,2,0,5,1,,2,4,0,1,1,1,0,0,0,0,1,4,4,4,1,1,4,0,10,9,0,6.333333333333333,0
335,335,1,1,0,1,1,3,4,4,5,1,,1,3,0,1,1,1,1,0,0,1,1,4,4,5,1,3,5,1,16,15,15,15.333333333333334,1
336,336,1,2,1,1,0,3,1,4,0,2,,1,3,1,1,1,0,1,0,0,0,1,5,4,3,1,2,5,1,14,13,13,13.333333333333334,1
337,337,1,1,0,1,1,3,2,5,5,2,,1,2,0,1,0,0,1,0,0,1,0,4,3,2,2,3,2,0,7,8,0,5.0,0
338,338,1,1,0,0,1,3,3,4,4,2,,1,4,0,1,0,1,1,0,0,1,1,5,3,3,1,1,1,0,16,15,17,16.0,1
339,339,1,1,1,1,0,3,2,5,5,2,,1,2,0,1,0,0,1,0,0,1,1,4,3,3,2,3,2,0,9,10,10,9.666666666666666,1
340,340,1,2,0,1,1,2,1,4,4,2,,1,3,1,1,1,0,0,0,0,1,0,4,3,4,1,3,3,0,11,12,11,11.333333333333334,1
341,341,0,1,0,1,1,4,4,3,4,2,,1,2,1,1,0,1,0,0,0,1,1,4,3,3,2,2,2,0,10,10,0,6.666666666666667,0
342,342,0,1,0,0,1,3,4,4,5,2,,1,2,0,1,1,1,0,0,0,1,0,4,3,3,1,3,5,1,16,15,15,15.333333333333334,1
343,343,1,1,0,1,0,2,2,0,0,2,,1,2,1,1,0,1,1,0,0,1,0,3,3,1,1,2,4,0,9,8,0,5.666666666666667,0
344,344,1,1,0,1,1,2,3,0,5,1,,1,3,0,1,0,1,1,0,0,1,1,4,3,3,1,2,3,0,11,10,10,10.333333333333334,1
345,345,1,1,0,1,1,3,2,5,4,3,,1,3,0,1,1,1,1,0,0,1,0,5,4,3,2,3,1,0,13,13,14,13.333333333333334,1
346,346,0,1,1,1,1,4,3,3,4,1,,1,3,0,1,1,1,1,0,0,1,0,5,3,2,1,2,4,0,16,15,16,15.666666666666666,1
347,347,0,1,0,1,1,4,3,3,5,1,,1,3,0,1,0,0,1,0,0,1,0,5,4,5,2,3,5,0,10,10,9,9.666666666666666,1
348,348,1,1,0,1,1,4,3,1,5,0,,1,3,0,1,0,0,0,0,0,1,0,4,4,3,1,3,4,0,13,15,15,14.333333333333334,1
349,349,0,1,1,1,1,3,2,5,5,1,,2,1,1,1,0,1,1,1,0,1,1,2,5,5,5,5,5,0,11,13,13,12.333333333333334,1
350,350,0,2,1,1,1,1,1,5,4,2,,3,2,3,1,1,1,1,0,0,1,1,5,4,4,3,3,2,0,8,7,8,7.666666666666667,0
351,351,0,1,0,1,1,3,3,1,5,1,,2,2,0,1,0,0,1,0,0,1,1,4,5,4,2,3,3,0,13,13,13,13.0,1
352,352,0,1,0,0,1,1,3,0,4,1,,1,1,1,1,1,1,1,0,1,1,0,4,3,3,2,3,3,0,8,7,8,7.666666666666667,0
353,353,0,2,1,1,1,1,1,5,5,2,,3,1,1,1,0,1,1,0,0,1,1,4,4,4,3,3,5,0,8,8,8,8.0,1
354,354,0,1,1,1,1,4,3,4,5,2,,2,2,0,1,0,0,0,1,0,1,0,4,5,5,1,3,2,0,13,11,11,11.666666666666666,1
355,355,1,1,0,1,1,3,3,4,4,1,,1,2,0,1,0,1,1,0,0,0,0,5,3,4,1,1,5,0,10,9,9,9.333333333333334,1
356,356,1,1,1,1,1,4,4,3,4,3,,2,2,0,1,0,0,0,0,0,1,1,4,3,3,1,2,5,0,12,13,13,12.666666666666666,1
357,357,1,1,0,0,0,3,2,4,5,0,,2,2,0,1,1,1,1,0,0,0,0,1,2,3,1,2,5,0,12,12,11,11.666666666666666,1
358,358,0,1,0,0,1,1,1,5,4,2,,2,1,0,1,1,1,1,1,0,1,0,3,3,2,1,2,3,0,10,10,10,10.0,1
359,359,1,1,0,0,1,1,1,0,4,1,,2,3,0,1,1,1,1,0,0,1,1,5,3,2,1,1,4,0,18,16,16,16.666666666666668,1
360,360,1,1,1,0,0,1,4,0,5,1,,3,2,0,1,1,1,1,0,0,0,0,4,3,4,1,4,5,0,13,13,13,13.0,1
361,361,0,1,1,0,1,1,1,0,5,3,,2,2,1,1,1,1,0,1,1,0,1,4,4,3,2,3,5,0,13,12,12,12.333333333333334,1
362,362,1,1,0,1,1,3,3,4,4,3,,2,2,0,1,0,1,1,0,0,1,0,4,3,2,1,3,3,0,11,11,10,10.666666666666666,1
363,363,1,1,0,0,1,4,4,0,0,1,,1,2,0,1,0,0,0,0,0,1,0,2,3,4,1,1,1,0,16,15,15,15.333333333333334,1
364,364,1,1,1,1,1,1,2,5,4,1,,2,2,0,1,1,1,1,1,0,0,1,3,2,2,1,2,3,0,12,11,12,11.666666666666666,1
365,365,0,1,1,1,1,1,3,0,5,1,,2,2,0,1,0,0,1,0,0,0,1,3,3,4,2,4,3,0,10,10,10,10.0,1
366,366,0,1,0,0,1,4,4,3,4,3,,2,3,0,1,1,0,1,0,0,1,0,4,2,2,2,2,5,0,13,13,13,13.0,1
367,367,1,1,1,1,1,1,1,5,4,0,,3,1,1,1,0,0,1,0,0,1,0,5,2,1,1,2,1,0,7,6,0,4.333333333333333,0
368,368,1,1,0,1,1,2,3,0,4,1,,2,1,0,1,0,0,1,0,0,1,0,5,2,3,1,2,4,0,11,10,10,10.333333333333334,1
369,369,1,1,1,1,1,4,4,5,3,3,,3,2,0,1,0,0,1,1,0,1,0,3,2,2,4,2,5,0,14,12,11,12.333333333333334,1
370,370,1,2,0,0,1,3,2,4,4,2,,2,2,2,1,1,1,0,0,0,0,0,3,2,2,1,1,3,0,7,7,9,7.666666666666667,0
371,371,0,1,1,0,1,1,2,0,4,3,,3,1,0,1,0,0,0,0,1,1,0,4,3,3,2,3,3,0,14,12,12,12.666666666666666,1
372,372,1,1,0,1,1,2,2,5,0,2,,1,3,0,1,1,1,0,0,0,0,0,3,4,3,1,1,3,0,13,11,11,11.666666666666666,1
373,373,1,1,1,1,1,1,2,5,5,1,,1,1,0,1,1,1,0,0,0,1,1,3,5,5,1,3,1,1,6,5,5,5.333333333333333,0
374,374,1,1,1,0,1,4,4,5,5,0,,2,3,0,1,1,1,1,0,0,1,1,5,4,4,1,1,1,0,19,18,19,18.666666666666668,1
375,375,1,1,1,1,1,1,1,5,5,2,,4,3,0,1,1,1,1,0,0,1,1,4,3,2,1,2,4,0,8,8,10,8.666666666666666,1
376,376,1,2,0,1,1,4,2,1,5,1,,2,3,2,1,0,0,1,1,0,1,0,5,4,3,1,1,3,0,15,14,15,14.666666666666666,1
377,377,1,1,1,0,1,4,4,3,4,1,,1,2,0,1,1,0,0,0,0,1,1,5,4,3,3,4,2,0,8,9,10,9.0,1
378,378,1,1,0,1,1,3,3,5,5,2,,1,2,0,1,1,0,1,0,0,1,0,4,1,3,1,2,1,0,15,15,15,15.0,1
379,379,1,1,1,1,1,3,1,0,5,0,,1,2,0,1,0,0,0,1,0,1,1,4,5,4,2,3,1,1,10,10,10,10.0,1
380,380,0,1,0,1,1,4,4,3,3,2,,1,2,0,1,1,0,0,1,0,1,1,3,2,4,1,4,2,0,15,14,14,14.333333333333334,1
381,381,0,1,1,1,1,2,1,5,5,3,,2,1,0,1,1,1,0,1,0,1,0,4,4,3,1,3,5,0,7,6,7,6.666666666666667,0
382,382,0,1,0,1,1,2,3,5,4,2,,2,2,0,1,1,1,0,0,0,1,1,4,4,3,1,1,3,0,11,11,10,10.666666666666666,1
383,383,0,2,1,1,1,1,1,5,4,3,,2,1,1,1,1,1,1,0,0,0,1,4,3,2,1,3,5,0,6,5,0,3.6666666666666665,0
384,384,0,1,1,1,1,4,2,5,5,2,,2,1,1,1,1,0,1,0,0,0,1,5,4,3,4,3,3,1,6,5,5,5.333333333333333,0
385,385,1,1,1,1,1,2,2,0,5,3,,2,3,0,1,1,0,1,0,0,0,1,5,3,3,1,3,4,0,10,9,10,9.666666666666666,1
386,386,1,1,1,1,1,4,4,3,0,0,,3,1,0,1,0,0,0,0,0,1,0,4,4,3,2,2,5,0,6,5,6,5.666666666666667,0
387,387,1,2,1,1,1,2,3,4,5,1,,1,3,1,1,1,1,0,1,0,1,1,5,4,2,1,2,5,0,7,5,0,4.0,0
388,388,1,1,0,0,1,3,1,3,4,1,,1,2,0,1,0,0,1,0,0,1,1,4,3,4,1,1,1,0,7,9,8,8.0,1
389,389,1,1,0,1,1,1,1,5,5,1,,2,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,5,0,6,5,0,3.6666666666666665,0
390,390,0,2,0,0,0,2,2,4,4,1,,1,2,2,1,0,0,1,0,0,0,1,5,5,4,4,5,4,1,9,9,9,9.0,1
391,391,0,1,0,0,1,3,1,4,4,1,,2,1,0,1,1,1,1,1,0,1,1,2,4,5,3,4,2,0,14,16,16,15.333333333333334,1
392,392,0,2,1,1,1,1,1,5,5,1,,1,1,3,1,1,1,1,1,0,0,1,5,5,3,3,3,3,0,10,8,7,8.333333333333334,1
393,393,0,1,1,0,1,3,2,4,5,1,,3,1,0,1,1,1,1,1,0,1,1,4,4,1,3,4,5,0,11,12,10,11.0,1
394,394,0,2,0,0,1,1,1,5,0,1,,1,1,0,1,1,1,1,0,0,1,1,3,2,3,3,3,5,0,8,9,9,8.666666666666666,1
